title,price,brand,type,years,milage,location,vehicle_type,url
Dijual Honda Beat ESP FI Thn 2015 Plat B Jakut Pajak panjang,9000000.0,honda,beat,2015.0,10.000-15.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/di-jual-cepat-honda-beat-pgm-fi-tahun-2015-iid-867396469
"(( GAPERLU INDEN SIAP KIRIM DP 2,5JT‼️)) NEW HONDA BEAT CBS TH 2019 !",15800000.0,honda,beat,2019.0,0-5.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/gaperlu-inden-siap-kirim-dp-25jt-new-honda-beat-cbs-th-2019-bro-iid-867395207
HONDA BEAT KARBU 2009 WARNA PINK,7700000.0,honda,beat,2009.0,35.000-40.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-karbu-2009-warna-pink-iid-867394927
Jual cepat Honda Beat Eco 2017,10500000.0,honda,beat,2017.0,30.000-35.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-eco-2017-komplit-bgus-cakep-siap-gasss-iid-867394487
honda beat karbu 2011,6700000.0,honda,beat,2009.0,25.000-30.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-carbu-pertama-iid-867394232
honda beat fi th.2013 plat tangsel bsd,8950000.0,honda,beat,2013.0,25.000-30.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/di-jual-honda-beat-fi-2013-biru-putih-iid-867394000
Honda Beat Fi ESP Istimewa no minus,11000000.0,honda,beat,2016.0,30.000-35.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-fi-tahun-2016-iid-867391414
Honda Beat Fi esp Th 2016 Cakep orisinil,10500000.0,honda,beat,2016.0,20.000-25.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-fi-esp-istimewa-no-minus-iid-867391138
HONDA VARIO FI NEW 125 ISS 2018 pajak panjang/B.dki,16800000.0,honda,beat,2018.0,45.000-50.000,"Pulo Gadung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-street-fi-2018-pajak-panjangbdki-iid-867390663
Honda Beat pop 2018,10500000.0,honda,beat,2018.0,30.000-35.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2018-iid-867390081
Honda Beat 2014 pjk hidup tangkot,9200000.0,honda,beat,2013.0,50.000-55.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-honda-beat-2013-pjk-on-iid-867389718
dijual honda beat karbu tahun 2009,6500000.0,honda,beat,2009.0,35.000-40.000,"Tebet, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-honda-beat-tahun-2009-b-dki-jakarta-selatan-iid-867389635
Dijual Honda Beat 2016.,11500000.0,honda,beat,2016.0,45.000-50.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-cepat-honda-beat-2016-iid-867389339
Beat 2021 Kredit 1hari langsung bawa pulang,15600000.0,honda,beat,2019.0,5.000-10.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2019-kredit-1hari-proses-langsung-bawa-pulang-iid-867388449
"NEW BEAT 2020 - Dp 1,5JT",15500000.0,honda,beat,2020.0,5.000-10.000,"Kalideres, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2020-kredit-proses-cepat-syarat-mudah-iid-867388377
Honda BEAT 2021,17000000.0,honda,beat,2021.0,5.000-10.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-2021-kredit-ktp-daerah-bisa-di-bantu-iid-867388310
Honda Beat Pop Th 2016 Gress Pajak Panjang,9300000.0,honda,beat,2016.0,20.000-25.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-pop-2016-mesin-sehat-pajak-sampe-th-depan-iid-867387758
Honda Beat Pop 2016 Mesin Sehat Pajak Sampe Th Depan,9300000.0,honda,beat,2016.0,20.000-25.000,"Pasar Rebo, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-pop-th-2016-gress-pajak-panjang-iid-867387671
Honda Beat Pop Th 2016 Mesin Sehat Pajak Panjang,9300000.0,honda,beat,2016.0,20.000-25.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-pop-2016-gress-mesin-sehat-pajak-panjang-iid-867387586
Honda Beat Pop 2016 Gress Mesin Sehat Pajak Panjang,9300000.0,honda,beat,2016.0,25.000-30.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-pop-th-2016-mesin-sehat-pajak-panjang-iid-867387455
Honda beat tahun 2017.,12500000.0,honda,beat,2017.0,30.000-35.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-echo-tahun-2017-iid-867387280
honda beat fi th.2013,8950000.0,honda,beat,2013.0,295.000-300.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2013-motor-benar-terawat-tinggal-pakai-langsung-bekasi-kota-iid-867387072
Honda beat CBS ISS tahun 2019,13750000.0,honda,beat,2019.0,50.000-55.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/honda-beat-2019-iid-867386432
Di Jual Honda Beat FI 2013 Biru Putih,8500000.0,honda,beat,2015.0,30.000-35.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-biru-mulus-iid-867384579
HONDA BEAT STREET 2018 KONDISI MANTAPP,13750000.0,honda,beat,2018.0,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/segera-dijual-cash-dan-kredit-honda-beat-street-2018-iid-867384131
Honda beat street tjn 2018,13650000.0,honda,beat,2018.0,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/menjual-honda-beat-street-2018-cash-atau-kredit-iid-867384052
Dijual cepat Cash dan kredit Honda Beat street 2018,13950000.0,honda,beat,2018.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/beat-street-hitam-tahun18-cash-kredit-iid-867383946
