title,price,brand,type,years,milage,location,vehicle_type,url
Mio smile 2010 ss lengkap,5500000.0,yamaha,mio,2010.0,&gt;300.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-2010-jual-cepat-iid-867365156
For sale mio smile 2011,7900000.0,yamaha,mio,2011.0,Individu,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-2011-condet-jakarta-timur-iid-867364450
"Mio J 2012,motor rawatan,bolak balik kantor",5000000.0,yamaha,mio,2014.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-tahun-2014-mantap-iid-867363969
MOTOR MIO SPORTY 2006,5200000.0,yamaha,mio,2008.0,25.000-30.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-sporty-2008-iid-867363452
Yamaha mio soul gt th 2014 ful original mesin halus pajak mati,5900000.0,yamaha,mio,2014.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-tahun-2014-mntap-iid-867362926
Mio soul karbu tangan pertama,5700000.0,yamaha,mio,2012.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-tahun-2012-mantap-iid-867362643
Yamaha Mio smile original,4300000.0,yamaha,mio,2012.0,40.000-45.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-2012-lengkap-stnk-bpkb-faktur-iid-867361532
Yamaha mio smile tahun 2011 plat F sukabumi,5450000.0,yamaha,mio,2011.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-tahun-2011-mantap-iid-867361468
Yamaha Mio J Tahun 2012,5700000.0,yamaha,mio,2014.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-tahun-2014-mantap-iid-867361350
Yamaha mio j 2012,6000000.0,yamaha,mio,2012.0,70.000-75.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-yamaha-mio-j-thn-2012-iid-867360577
"SSS system, Yamaha mio gear S 125 LED 2021 bln 12 pajak panjang plat T",14750000.0,yamaha,mio,2022.0,0-5.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-s-version-125-aks-sss-led-fi-nik-2022-bln-2-km-4-rb-iid-867357767
Dijual Yamaha Mio J Thn 2012,6500000.0,yamaha,mio,2012.0,&gt;300.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-thn-2012-pajak-hidup-bulan-8-iid-867355768
Yamaha Mio J full original pajak panjang,7200000.0,yamaha,mio,2012.0,35.000-40.000,"Matraman, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-2012-full-modif-b-dki-lgkp-bisa-tt-iid-867355330
Mio smile lengkap,3500000.0,yamaha,mio,2011.0,Individu,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-3200000-iid-867354910
Mio soul lama/ Karbu,5500000.0,yamaha,mio,2011.0,55.000-60.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-2011-murah-lengkap-iid-867352836
Yamaha Mio GT 2014,5500000.0,yamaha,mio,2014.0,70.000-75.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-2014-iid-867352359
YAMAHA GEAR 125 GAK PAKE LAMA BOSQYUU,15000000.0,yamaha,mio,2021.0,0-5.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-125-fi-2021-kilometer-1800-iid-867351523
"Yamaha Mio j 2012 ,",5800000.0,yamaha,mio,2012.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-2012-lengkap-pajak-hidup-iid-867351345
YAMAHA MIO MURAH 2010,5500000.0,yamaha,mio,2010.0,0-5.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-2010-full-restorasi-mulus-iid-867350393
NEW SUPRA X 125 CW FI 2020 Cash Kredit Bisa TT Bergaransi,16500000.0,yamaha,mio,2020.0,5.000-10.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/new-beat-cw-fi-2020-gress-cash-kredit-bisa-tt-mio-fino-iid-867349594
Yamaha Mio Soul GT FI 2012 Pajak Hidup,7000000.0,yamaha,mio,2017.0,65.000-70.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-s-th-2017-pjk-hidup-orisinil-iid-867349334
Yamaha Mio J th 2013 plat B dki,5900000.0,yamaha,mio,2013.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-tahun-2013-iid-867349132
Yamaha mio soul gt th 2014 ful original mesin halus pajak mati,5900000.0,yamaha,mio,2013.0,60.000-65.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-gt-2013-iid-867349100
Yamaha Mio j 2012 orisinil,5800000.0,yamaha,mio,2013.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-tahun-2013-pajak-hidup-iid-867348503
YAMAHA MIO GEAR DP 1000 AN TAHUN 2021,14500000.0,yamaha,mio,2021.0,5.000-10.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-dp-1000-aja-tahun-2021-iid-867348184
"Yamaha mio smile 2011 plat B pajak hidup 5,3nego",5300000.0,yamaha,mio,2011.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-smile-tahun-2011-pajak-hidup-iid-867347828
Yamaha Mio Z Tahun 2016 Pajak DKi,8500000.0,yamaha,mio,2016.0,40.000-45.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-z-th-2016-iid-862943322
Mio J th 2014 plat B DKI murmerr,5600000.0,yamaha,mio,2014.0,40.000-45.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-th-2014-plat-b-dki-iid-864798795
Yamaha Mio Z 2017 orisinil full bagus cw asli,7900000.0,yamaha,mio,2017.0,35.000-40.000,"Palmerah, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-z-2017-orisinil-full-injection-iid-867347214
Yamaha Mio Z th 2016,7900000.0,yamaha,mio,2016.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yanaha-mio-z-125-tahun-2016-iid-867347192
Mio GT th 2014 plat B dki,6650000.0,yamaha,mio,2014.0,45.000-50.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-th-2014-plat-b-dki-murmerr-iid-866550373
Mio J th 2014 plat B DKI murmerr,5600000.0,yamaha,mio,2013.0,40.000-45.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-th-2013-plat-b-dki-iid-866902537
mio sporty 2008,4800000.0,yamaha,mio,2008.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-sporty-tahun-2008-iid-867345894
Mio gt tahun 2014,6400000.0,yamaha,mio,2014.0,Individu,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-2014-pajak-off-surat-lengkap-iid-867345848
D jual motor yamaha mio m3 tahun 2016 kondisi aman,7000000.0,yamaha,mio,2014.0,40.000-45.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-m3-2014-akhir-iid-867345747
Jual cpt YAMAHA Mio M3 125cc 2018,8000000.0,yamaha,mio,2018.0,25.000-30.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-yamaha-mio-m3-2018-iid-867345572
Mio sporty tahun 2010,5500000.0,yamaha,mio,2010.0,,"Kembangan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-2010-pajak-panjang-lengkap-iid-867345273
Mio J th 2014 plat B DKI murmerr,5600000.0,yamaha,mio,2014.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-2014-hitam-cakep-iid-867345052
"Yamaha mio smile 2011 plat B pajak hidup 5,3nego",5300000.0,yamaha,mio,2011.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-2011-pemakaian-2012-top-kece-iid-867344874
Jual/Tt Yamaha mio sporty surat lengkap pajak Hidup mesin halus,4650000.0,yamaha,mio,2005.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-sporty-tahun-2005-iid-867344710
Yamaha Mio M3 pajak baru bisa TT,7800000.0,yamaha,mio,2015.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-m3-tahun-2015-iid-867344608
Yamaha Mio Soul 2011,6500000.0,yamaha,mio,2011.0,10.000-15.000,"Ciracas, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-2011-pjk-idup-iid-867344067
Mio soul lama/ Karbu,5500000.0,yamaha,mio,2012.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-2012-top-bagus-iid-867343557
Jual motor yamaha mio smel thn 2012 komplit,5850000.0,yamaha,mio,2007.0,25.000-30.000,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-yamaha-mio-iid-867343382
Mio GT th 2014 plat B dki,6650000.0,yamaha,mio,2014.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-2014-top-bagus-iid-867343023
Yamaha Mio Gear S Version 125 AKS SSS LED Fi NIK 2022 Bln 2 Km 4 Rb,15950000.0,yamaha,mio,2022.0,0-5.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-125s-aks-sss-thn-2022-baru-off-the-road-remot-cotrol-iid-867342712
Mio J 2014 PGM F1 Injeksi Mesin HalusSkl Stater Hdp Full Ori Blh tt,4500000.0,yamaha,mio,2008.0,25.000-30.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-antiq-clasic-warna-dop-hitam-stater-hdp-mesin-halusskl-mulus-blhtt-iid-867341971
Mio J th 2014 plat B DKI murmerr,5600000.0,yamaha,mio,2014.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-2014-top-kece-iid-867341730
Yamaha Mio Soul GT 2015 Hitam (Plat Bandung),7500000.0,yamaha,mio,2015.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-gt-125-2015-top-bagus-iid-867340485
Mio gt 2013 Pajak hidup panjang,6800000.0,yamaha,mio,2013.0,35.000-40.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-2013-jos-iid-867340397
Mio sporty taon 2010 wrna elegant 98% nego,3800000.0,yamaha,mio,2007.0,295.000-300.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-wrna-asli-merahstnk-mati-2019kaleng-mati-bulan-4-kmrnmesin-jos-iid-867340243
Yamaha Mio J thun 2014,4800000.0,yamaha,mio,2013.0,90.000-95.000,"Palmerah, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-thun-2013-iid-867339114
MIO SMILE tahun 2012,4450000.0,yamaha,mio,2012.0,20.000-25.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-2012-terawat-iid-867338378
Dijual yamaha mio J 2013 fino m3 gt soul ss lengkap pajak hidup,6600000.0,yamaha,mio,2012.0,295.000-300.000,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-ss-lengkap-pajak-072021-plat-072022-iid-867338012
Mio smile tahun 2011,5000000.0,yamaha,mio,2007.0,30.000-35.000,"Tebet, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-2007-merah-rapih-iid-867337164
yamaha mio blue core 2019,11500000.0,yamaha,mio,2019.0,10.000-15.000,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-s-125-bluecore-2019--iid-867330827
Yamaha mio sporty 2008,5000000.0,yamaha,mio,2008.0,Individu,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-sporty-2008-iid-867330090
Yamaha mio tahun 2008,3500000.0,yamaha,mio,2008.0,15.000-20.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-tahun-2008-iid-867328937
Cari motor barteran hp Vivo y20 x ada yang minat,2000000.0,yamaha,mio,2010.0,80.000-85.000,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-bu-yamaha-mio-smile-iid-867328536
Mio sporty th' 2006 SS lengkap,4500000.0,yamaha,mio,2006.0,25.000-30.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-sporty-2006-iid-867327035
Jual aja motor kesayangan Mio sporty,4800000.0,yamaha,mio,2008.0,30.000-35.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-sporty-mata-kucing-body-mesin-full-orsinil-tarikan-enteng-iid-867322940
Yamaha Mio Soul GT 2015 Hitam (Plat Bandung),7500000.0,yamaha,mio,2009.0,35.000-40.000,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-tahun-2009-iid-867322756
Yamaha Mio GT tahun 2014,7350000.0,yamaha,mio,2014.0,20.000-25.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-tahun-2014-iid-867322500
Yamaha Mio GT 2013 jos,6800000.0,yamaha,mio,2013.0,40.000-45.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-2013-pajak-hidup-panjang-iid-867322416
Yamaha Mio GT tahun 2014,7350000.0,yamaha,mio,2014.0,20.000-25.000,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-tahun-2014-iid-867322165
Yamaha mio sporty 2007 restorasi,8000000.0,yamaha,mio,2007.0,10.000-15.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-2007-iid-867322135
Yamaha Mio GT tahun 2014,7350000.0,yamaha,mio,2014.0,25.000-30.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-tahun-2014-iid-867322091
Yamaha Mio GT tahun 2014,7350000.0,yamaha,mio,2014.0,20.000-25.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-tahun-2014-iid-867321895
Yamaha Mio smile th 2008 muluss Joss terawat,4750000.0,yamaha,mio,2008.0,45.000-50.000,"Makasar, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-smile-2008-iid-867321822
Yamaha Mio GT tahun 2014,7350000.0,yamaha,mio,2014.0,20.000-25.000,"Pulo Gadung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-tahun-2014-iid-867321793
Yamaha soul GT tahun 2016,8750000.0,yamaha,mio,2016.0,20.000-25.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-gt-tahun-2016-iid-867321520
Mio sporty 2008,4000000.0,yamaha,mio,2008.0,40.000-45.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-sporty-2008lengkap-iid-867317368
Yamaha Mio J Tahun 2012,5700000.0,yamaha,mio,2012.0,20.000-25.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-2012--iid-867316065
Yamaha Mio GT tahun 2014,7350000.0,yamaha,mio,2014.0,55.000-60.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-2014-tidak-ada-kendala-iid-867312320
Yamaha mio soul GT,5800000.0,yamaha,mio,2013.0,20.000-25.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gt-2013-orisinil-iid-867305678
Menjual Yamaha Mio j 2012 cash aja,7650000.0,yamaha,mio,2012.0,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/segera-dijual-cash-mio-j-tahun-2012-iid-867305167
Mio j 2012 jual santai,6250000.0,yamaha,mio,2012.0,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/menjual-yamaha-mio-j-2012-cash-aja-iid-867304305
Yamaha Mio J 2012 bagus,6500000.0,yamaha,mio,2013.0,15.000-20.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-j-2012-orisinil-iid-867304255
Yamaha Mio J tahun 2014,6350000.0,yamaha,mio,2012.0,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-hijau-tahun12-ss-lengkap-iid-867304142
Yamaha mio j 2012 atas nama sendiri KTP bisa pinjam motor istimewa,6900000.0,yamaha,mio,2012.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-cepat-cash-aja-yamaha-mio-j-tahun12-iid-867304000
Yamaha Mio J 2012 bagus,6500000.0,yamaha,mio,2012.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijualnya-hanya-cash-yamaha-mio-j-2012-iid-867303479
Mio J hijau tahun 2012 body mesin alus,7650000.0,yamaha,mio,2012.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-hijau-th-2012-mesin-alus-body-mulus-iid-867296463
Dijualnya Cash atau kredit Yamaha Mio M3 2017,9650000.0,yamaha,mio,2017.0,,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-m3-125-hitam-tahun-2017-cek-unit-langsung-ke-jogyamotor-iid-867290340
Mio Soul GT 2013 masih Ori,7000000.0,yamaha,mio,2013.0,65.000-70.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-gt-2013-iid-867290325
Dijualnya Cash atau kredit Yamaha Mio M3 2017,9650000.0,yamaha,mio,2017.0,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-m3-125-hitam-tahun-2017-cash-or-kredit-harga-bersahabat-iid-867290245
Mio M3 125 Hitam Th 2017 mesin alus body mulus,9650000.0,yamaha,mio,2017.0,,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-m3-125-hitam-tahun-2017-body-mesin-alus-iid-867290141
Yamaha mio M3 2017 caSh/Credit,9650000.0,yamaha,mio,2017.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-m3-125-hitam-th-2017-mesin-alus-body-mulus-iid-867289541
Yamaha Mio Soul GT FI 2012 Mulus Mesin Gress Terawat,6950000.0,yamaha,mio,2012.0,,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-gt-fi-2012-pajak-hidup-iid-867250779
Dijual mio tahun 2007 mulus dan sehat,4000000.0,yamaha,mio,2007.0,,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-sporty-2007-mulus-orisinil-iid-867161535
(LOW KM) DP 900K YAMAHA MIO GEAR 125 CC TH 2021,14700000.0,yamaha,mio,2021.0,5.000-10.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-gear-125-thun-2021-low-klmtr-8rb-bisa-tt-beat-soul-spacy-iid-859986044
yamaha mio z 2018,10300000.0,yamaha,mio,2018.0,45.000-50.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-z-2018-iid-867284279
Menjual Yamaha Mio m3 2017 cash atau kredit,9650000.0,yamaha,mio,2017.0,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/segera-dijual-cash-atau-kredit-yamaha-mio-m3-2017-iid-867283816
Segera dijual cash atau kredit Yamaha Mio M3 2017,9650000.0,yamaha,mio,2017.0,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/menjual-yamaha-mio-m3-2017-cash-atau-kredit-iid-867283646
Yamaha Mio M3 tahun 2015,7900000.0,yamaha,mio,2017.0,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-m3-tahun17-jakarta-timur-iid-867283314
Yamaha Mio M3 th 2015 original istimewa Gress,8730000.0,yamaha,mio,2017.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-cepat-cash-atau-kredit-yamaha-mio-m3-2017-iid-867283194
Yamaha mio M3 2017 caSh/Credit,9650000.0,yamaha,mio,2017.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijualnya-cash-atau-kredit-yamaha-mio-m3-2017-iid-867283107
Yamaha Mio soul GT tahun 2018,10250000.0,yamaha,mio,2016.0,15.000-20.000,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-gt-tahun-2016-iid-867281656
Yamaha Mio Smile th 2011 Ss Komplit,4150000.0,yamaha,mio,2011.0,Individu,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-smile-2011-iid-867275062
Mio Smile 2011 warna hitam,4715000.0,yamaha,mio,2012.0,15.000-20.000,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-smile-2012-warna-merah-iid-866292690
Soul GT 125 Blue Core,9500000.0,yamaha,mio,2016.0,35.000-40.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-gt-125-blue-core-2016-iid-867271691
Yamaha mio m3 125 tahun 2018,8000000.0,yamaha,mio,2018.0,Individu,"Cilincing, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-m3-2018-mulus-abis-iid-867270833
"MIO SPORTY 2008,,LENGKAP",4100000.0,yamaha,mio,2008.0,Individu,"Cakung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-sporty-2008-iid-865908112
Mio sporty 2006,5500000.0,yamaha,mio,2011.0,65.000-70.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/bismilah-jaul-mio-smale-jkrta-barat-iid-867267589
Mio sporty thn 2008 Mesin standar #,7000000.0,yamaha,mio,2006.0,25.000-30.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-sporty-original-antik-iid-867264492
YAMAHA MIO SOUL ORIGINAL MULUS,5900000.0,yamaha,mio,2010.0,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-soul-biru-full-ori-terawat-iid-867263864
Yamaha Mio Soul 2009,6300000.0,yamaha,mio,2010.0,20.000-25.000,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-tahun-2010-pajak-panjang-b-dki-selatan-iid-867262151
Yamaha Mio Soul GT FI 2012 Pajak Hidup,7000000.0,yamaha,mio,2012.0,70.000-75.000,"Cilincing, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-gt-fi-2012-mulus-mesin-gress-terawat-iid-867259851
Jual cepat motor yamaha mio smel thn 2011 komplit,5750000.0,yamaha,mio,2011.0,60.000-65.000,"Pulo Gadung, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/dijual-cepat-mio-smeil-2011-tangan-pertama-dari-barupemilik-wanita-iid-867258515
Mio GT PGMF1 Plat 2023 Full Ori Stater Hdp Mesin HalusSkli Mulus tt,5250000.0,yamaha,mio,2013.0,25.000-30.000,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-pgmf1-plat-2023-mesinhalus-body-mulus-full-ori-stater-hdpblh-tt-iid-867246172
Mio smile 2012 lengkap STNK BPKB faktur,3800000.0,yamaha,mio,2011.0,5.000-10.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-smile-original-iid-867245689
Yamaha Mio Smile th 2011 Pajak Hidup,6300000.0,yamaha,mio,2014.0,50.000-55.000,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-gt-2014-pajak-hidup-kaleng-panjang-ss-kumplit-rp-6700-iid-867244069
Mio Soul Karbu !,3100000.0,yamaha,mio,2009.0,35.000-40.000,"Palmerah, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/yamaha-mio-soul-karbu-iid-867243368
Yamaha Mio smile tahun 2011,6550000.0,yamaha,mio,2011.0,70.000-75.000,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-tahun-2011-pajak-panjang-harga-6-jt-800rb-ajhbisa-dego-dikit-iid-867242280
DIJUAL!!! MOTOR YAMAHA MIO J,6000000.0,yamaha,mio,2014.0,40.000-45.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",bike,https://www.olx.co.id/item/mio-j-2014-pajak-mati-2021-gress-siap-pakai-iid-867241549
Mio sporty 2010 ss lengkap,4000000.0,yamaha,mio,2010.0,70.000-75.000,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",bike,https://www.olx.co.id/item/jual-motor-mio-ss-lengkap-pajak-masih-lama-semua-on-semua-iid-867241277
