years,in_median,in_mean,in_min,in_max
2021,1.0,1.0,1.0,1.0
2020,0.9090909090909091,0.9101384517178026,0.8503401360544217,0.9615384615384616
2019,0.8579881656804734,0.8574100262858719,0.8129251700680272,0.8894230769230769
2018,0.8194905869324474,0.7997294557753033,0.7006802721088435,0.8521634615384616
2017,0.7286821705426356,0.7027728934078551,0.5850340136054422,0.7451923076923077
2016,0.6674641148325359,0.6424058841535525,0.5306496598639456,0.6760355029585798
