years,pct_median,pct_mean,pct_min,pct_max
2020,-0.07676391660089044,-0.08088387599106002,-0.10138497802233282,-0.06268256956621221
2019,-0.07247442624581468,-0.06585030283561195,-0.10887985087273355,-0.02637781540919759
2018,-0.062398821938151605,-0.07184714007165258,-0.12861207640459915,-0.0480492056748717
2017,-0.10473556866735678,-0.11421411575411744,-0.14422170179547222,-0.10047863280873359
2016,-0.06227094177415493,-0.0700632705800035,-0.12031182160910714,-0.03831321334863658
