title,price,brand,type,transmission,milage,fuel,location,url
toyota avanza (2021),Rp 242.000.000,toyota,1.5 G Bensin,Otomatis,10000 Km,Bensin,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2014),Rp 111.000.000,toyota,1.3 E Bensin,Manual,40.000-45.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2010),Rp 95.000.000,toyota,1.5 S Bensin,Automatic,150.000-155.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2012),Rp 120.000.000,toyota,1.5 Veloz Bensin,Automatic,160.000-165.000 Km,Bensin,"Tanah Abang, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2013),Rp 120.000.000,toyota,1.3 G Bensin,,,,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2013),Rp 125.000.000,toyota,1.5 Veloz Bensin,Automatic,85.000-90.000 Km,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2017),Rp 153.000.000,toyota,1.3 G Bensin,Otomatis,50000 Km,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2018),Rp 156.000.000,toyota,1.3 G Bensin,,,,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,Rp 225.000.000,toyota,1.5 New Veloz Bensin,,,,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2012),Rp 109.000.000,toyota,1.3 G Bensin,Manual,90.000-95.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2015),Rp 132.000.000,toyota,1.3 G Bensin,Manual,45.000-50.000 Km,Bensin,"Makasar, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,,toyota,,,,,,https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2022),Rp 274.000.000,toyota,1.5 G TSS Bensin,Otomatis,10000 Km,Bensin,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2011),Rp 90.000.000,toyota,1.3 G Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2017),Rp 148.000.000,toyota,1.3 G Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2009),Rp 98.500.000,toyota,1.5 S Bensin,,,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,,toyota,,,,,,https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2007),Rp 92.500.000,toyota,1.3 G Bensin,,,,"Cipayung, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2013),Rp 105.000.000,toyota,1.3 G Bensin,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
toyota avanza (2016),Rp 132.000.000,toyota,1.3 G Bensin,Manual,120.000-125.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/avanza-g-mt-2016-silver-dp-11jt-kredit-termurah-seolx-iid-865850970
,,toyota,,,,,,https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2022),Rp 240.100.000,toyota,1.5 G Bensin,Automatic,0-5.000 Km,Bensin,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2013),Rp 105.000.000,toyota,1.3 E Bensin,Automatic,80.000-85.000 Km,Bensin,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2007),Rp 86.000.000,toyota,1.3 S Bensin,Manual,175.000-180.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16422, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2017),Rp 140.000.000,toyota,1.3 G Bensin,Automatic,105.000-110.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2021),Rp 285.000.000,toyota,1.3 G Bensin,,,,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2013),Rp 123.000.000,toyota,1.3 G Bensin,Manual,100.000-105.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2015),Rp 135.000.000,toyota,1.3 G Bensin,Manual,138238 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2021),Rp 303.000.000,toyota,1.5 New Veloz Q CVT TSS Bensin,Otomatis,10264 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, Carsworld Building, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2009),Rp 86.500.000,toyota,1.5 S Bensin,,,,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2013),Rp 108.000.000,toyota,1.5 E Bensin,,,,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2015),Rp 138.000.000,toyota,1.3 G Bensin,,,,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2012),Rp 109.000.000,toyota,1.3 G Bensin,Manual,90.000-95.000 Km,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16421, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2010),Rp 105.000.000,toyota,1.3 G Bensin,,,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2014),Rp 125.000.000,toyota,1.3 G Bensin,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2015),Rp 145.000.000,toyota,1.3 E Bensin,,,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2013),Rp 115.000.000,toyota,1.3 G Bensin,Automatic,115.000-120.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2011),Rp 99.000.000,toyota,1.3 G Bensin,Manual,100.000-105.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2019),Rp 185.000.000,toyota,1.3 G Bensin,,10.000-15.000 Km,Bensin,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
daihatsu xenia (2013),Rp 112.000.000,toyota,R 1.3 Sporty,Manual,45.000-50.000 Km,Bensin,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/km-50rb-asli-jamin-xenia-13-r-sporty-2013-mt-dp23jt-2014-2015-avanza-iid-866704311
toyota avanza (2011),Rp 99.000.000,toyota,1.3 G Bensin,Manual,100.000-105.000 Km,Bensin,"Carsworld Building, Lengkong Gudang, Serpong, Kecamatan Serpong, BSD, BantenDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2011),Rp 105.000.000,toyota,1.5 S Bensin,Automatic,95.000-100.000 Km,Bensin,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2014),Rp 132.000.000,toyota,1.3 G Bensin,Otomatis,92494 Km,Bensin,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2017),Rp 155.000.000,toyota,1.5 Veloz Bensin,Automatic,80.000-85.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
daihatsu xenia (2013),Rp 112.000.000,toyota,R 1.3 Sporty,Manual,45.000-50.000 Km,Bensin,"Cengkareng, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2008),Rp 95.000.000,toyota,1.3 G Bensin,,,,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2016),Rp 157.000.000,toyota,1.3 Veloz Bensin,Automatic,50.000-55.000 Km,Bensin,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2012),Rp 123.000.000,toyota,1.5 New Veloz Bensin,Automatic,85.000-90.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2012),Rp 114.000.000,toyota,1.3 G Bensin,Automatic,135.000-140.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2015),Rp 133.000.000,toyota,1.3 G Bensin,Manual,128266 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2013),Rp 105.000.000,toyota,1.3 Transmover Bensin,Automatic,100.000-105.000 Km,Bensin,"Johar Baru, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2022),Rp 285.000.000,toyota,1.5 New Veloz Q CVT Bensin,Automatic,70.000-75.000 Km,Bensin,"Jl. Cempaka Putih Tengah II No.16, RT.: 01/RW.: 05, Cempaka Putih Timur, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2022),Rp 285.000.000,toyota,1.5 New Veloz Q CVT Bensin,Automatic,0-5.000 Km,Bensin,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2014),Rp 127.500.000,toyota,1.3 G Bensin,,,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2018),Rp 155.000.000,toyota,1.3 G Bensin,,,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2020),Rp 218.000.000,toyota,1.5 New Veloz Bensin,,,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2013),Rp 107.000.000,toyota,1.3 E Bensin,,,,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2022),Rp 285.000.000,toyota,1.5 New Veloz Q CVT Bensin,Automatic,0-5.000 Km,Bensin,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2016),Rp 137.000.000,toyota,1.3 G Bensin,Otomatis,180000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2017),Rp 158.000.000,toyota,1.3 G Bensin,,,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/toyota-avanza-2017-bensin-iid-866692430
toyota avanza (2010),Rp 82.000.000,toyota,1.3 G Bensin,Automatic,195.000-200.000 Km,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2022),Rp 203.100.000,toyota,1.3 E Bensin,Manual,0-5.000 Km,Bensin,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2020),Rp 185.000.000,toyota,1.5 G Bensin,Manual,5.000-10.000 Km,Bensin,"Jl Moh Kahfi 1 no 46 cipedak jagakarasa jakarta selatan, Jl Kebagusan Raya no 61 Y Kebagusan Jakarta Selatan, Jagaraksa, Jagaraksa, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2018),Rp 159.000.000,toyota,1.3 G Bensin,Manual,110.000-115.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2016),Rp 137.000.000,toyota,1.3 G Bensin,Otomatis,180000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2017),Rp 158.000.000,toyota,1.3 G Bensin,,,,"Tebet, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2017),Rp 157.000.000,toyota,1.5 Veloz Bensin,Manual,50.000-55.000 Km,Bensin,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2010),Rp 82.000.000,toyota,1.3 G Bensin,Automatic,195.000-200.000 Km,Bensin,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2016),Rp 135.000.000,toyota,1.3 G Bensin,Manual,120.000-125.000 Km,Bensin,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2017),Rp 140.000.000,toyota,1.3 G Bensin,Automatic,105.000-110.000 Km,Bensin,"Pancoran, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2011),Rp 98.000.000,toyota,1.5 S Bensin,Automatic,200.000-205.000 Km,Bensin,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2014),Rp 124.000.000,toyota,1.3 G Bensin,Manual,195577 Km,Bensin,"Jl. Cempaka Putih Tengah II No.16, RT.: 01/RW.: 05, Cempaka Putih Timur, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2012),Rp 120.000.000,toyota,1.5 Veloz Bensin,Automatic,175.000-180.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2016),Rp 120.000.000,toyota,1.3 E Bensin,Manual,100.000-105.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2014),Rp 120.000.000,toyota,1.3 G Bensin,,,,"Pesanggrahan, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2017),Rp 143.000.000,toyota,1.3 G Bensin,,,,"Jatinegara, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2009),Rp 89.500.000,toyota,1.3 G Bensin,,,,"Kramat Jati, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2021),Rp 183.000.000,toyota,,,,,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
toyota avanza (2011),Rp 99.000.000,toyota,1.3 G Bensin,Manual,183280 Km,Bensin,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
,,toyota,,,,,,https://www.olx.co.id/item/tape-mobil-avanza-ori-iid-860966107
,,toyota,,,,,,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2020),Rp 185.000.000,toyota,1.3 G Bensin,Manual,9412 Km,Bensin,"Jl Kebagusan Raya no 61 Y Kebagusan Jakarta Selatan, Pasar Minggu, Jagaraksa, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2011),Rp 101.000.000,toyota,1.3 G Bensin,Manual,152904 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
,,toyota,,,,,,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
,,toyota,,,,,,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2010),Rp 99.000.000,toyota,1.3 G Bensin,Manual,110.000-115.000 Km,Bensin,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2014),Rp 124.000.000,toyota,1.3 G Bensin,Manual,195577 Km,Bensin,"Jl. Raden Saleh No.25, RT.5/RW.1, Meruya Utara, Kecamatan Kembangan, Jakarta Barat, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2013),Rp 115.000.000,toyota,1.3 E Bensin,Automatic,75.000-80.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
honda mobilio (2017),Rp 180.000.000,toyota,1.5 RS Bensin,Otomatis,70000 Km,Bensin,"Kembangan, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2017),Rp 157.000.000,toyota,1.3 G Bensin,,,,"Cipayung, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2022),Rp 327.500.000,toyota,1.5 New Veloz Q CVT TSS Bensin,Automatic,0-5.000 Km,Bensin,"Pasar Minggu, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2022),Rp 327.500.000,toyota,1.5 New Veloz Q CVT TSS Bensin,Automatic,0-5.000 Km,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2022),Rp 327.500.000,toyota,1.5 New Veloz Q CVT TSS Bensin,Automatic,0-5.000 Km,Bensin,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
,,toyota,,,,,,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2022),Rp 285.000.000,toyota,1.5 New Veloz Q CVT Bensin,,,,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2019),Rp 185.000.000,toyota,1.3 G Bensin,Automatic,15.000-20.000 Km,Bensin,"Kebayoran Lama, Jakarta Selatan, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2010),Rp 98.000.000,toyota,1.3 G Bensin,Otomatis,94930 Km,Bensin,"Mall Tamini Square. Jl Taman Mini 1 No.1, Pinang Ranti, Makasar, Mall Tamini Square, Jakarta Timur, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2012),Rp 95.000.000,toyota,1.3 E Bensin,,,,"Matraman, Jakarta Timur, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2017),Rp 153.000.000,toyota,1.3 G Bensin,,,,"Grogol Petamburan, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2012),Rp 114.000.000,toyota,1.3 G Bensin,Automatic,135.000-140.000 Km,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866058060
toyota avanza (2021),Rp 265.000.000,toyota,1.5 G Bensin,Otomatis,10000 Km,Bensin,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866060094
toyota avanza (2018),Rp 160.000.000,toyota,1.3 G Bensin,Manual,125.000-130.000 Km,Bensin,"Jl. Raya Puspiptek No.17, Buaran, Tanggerang Selatan, Tanggerang Selatan, BantenDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866060094
toyota avanza (2013),Rp 120.000.000,toyota,1.5 Veloz Bensin,Automatic,145.000-150.000 Km,Bensin,"Jalan Panjang No.168, Kedoya, RT.11/RW.2, Kedaung Kali Angke, 11710, Kedoya, Kecamatan Cengkareng, Kota Jakarta Barat,, DKI JakartaDapatkan petunjuk",https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866060094
,,toyota,,,,,,https://www.olx.co.id/item/olx-autos-toyota-avanza-13-g-bensin-at-2012-iid-866060094
