title,price,brand,type,transmission,milage,fuel,location,years,milage_class
toyota yaris,235000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,15.000-20.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2019,4
toyota yaris,222000000,toyota,1.5 TRD Sportivo Bensin,Manual,10.000-15.000,Bensin,"Karawaci, Tangerang Kota, Banten",2019,3
toyota yaris,229000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,0-5.000,Bensin,"Semarang Selatan, Semarang Kota, Jawa Tengah",2019,1
toyota yaris,217000000,toyota,1.5 TRD Sportivo Bensin,Automatic,85.000-90.000,Bensin,"Karawang Barat, Karawang Kab., Jawa Barat",2018,18
toyota yaris,215000000,toyota,1.5 TRD Sportivo Bensin,Automatic,70.000-75.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2018,15
toyota yaris,207000000,toyota,1.5 TRD Sportivo Bensin,Automatic,60.000-65.000,Bensin,"Cibodas, Tangerang Kota, Banten",2018,13
toyota yaris,243000000,toyota,1.5 S Bensin,Automatic,5.000-10.000,Bensin,"Semampir, Surabaya Kota, Jawa Timur",2018,2
toyota yaris,233000000,toyota,1.5 TRD Sportivo Bensin,Automatic,5.000-10.000,Bensin,"Regol, Bandung Kota, Jawa Barat",2018,2
toyota yaris,230000000,toyota,1.5 TRD Sportivo Bensin,Automatic,45.000-50.000,Bensin,"jl Ronggowarsito no 130 Timuran banjarsari Surakarta solo, Solo, Banjarsari, Solo, Jawa TengahDapatkan petunjuk",2018,10
toyota yaris,227000000,toyota,1.5 TRD Sportivo Bensin,Automatic,45.000-50.000,Bensin,"jl Ronggowarsito no 130 Timuran banjarsari Surakarta solo, Solo, Banjarsari, Solo, Jawa TengahDapatkan petunjuk",2018,10
toyota yaris,239000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,40.000-45.000,Bensin,"Kediri Kota, Kediri Kota, Jawa Timur",2018,9
toyota yaris,219500000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,40.000-45.000,Bensin,"Cinere, Depok Kota, Jawa Barat",2018,9
toyota yaris,202000000,toyota,1.5 TRD Sportivo Bensin,Manual,35.000-40.000,Bensin,"Cimahi Selatan, Cimahi Kota, Jawa Barat",2018,8
toyota yaris,225000000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Bekasi Barat, Bekasi Kota, Jawa Barat",2018,7
toyota yaris,220000000,toyota,1.5 TRD Sportivo Bensin,Automatic,10.000-15.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2018,3
toyota yaris,155000000,toyota,1.5 E Bensin,Automatic,70.000-75.000,Bensin,"Serpong, Tangerang Selatan Kota, Banten",2017,15
toyota yaris,185000000,toyota,1.5 TRD Sportivo Bensin,Automatic,65.000-70.000,Bensin,"Semarang Tengah, Semarang Kota, Jawa Tengah",2017,14
toyota yaris,179900000,toyota,1.5 TRD Sportivo Bensin,Manual,65.000-70.000,Bensin,"Gubeng, Surabaya Kota, Jawa Timur",2017,14
toyota yaris,179000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,65.000-70.000,Bensin,"Semarang Tengah, Semarang Kota, Jawa Tengah",2017,14
toyota yaris,177500000,toyota,1.5 TRD Sportivo Heykers Bensin,Manual,65.000-70.000,Bensin,"Tingkir, Salatiga Kota, Jawa Tengah",2017,14
toyota yaris,170000000,toyota,Heykers,Manual,65.000-70.000,Bensin,"Sukoharjo, Sukoharjo Kab., Jawa Tengah",2017,14
toyota yaris,195000000,toyota,1.5 TRD Sportivo Bensin,Automatic,60.000-65.000,Bensin,"Kediri Kota, Kediri Kota, Jawa Timur",2017,13
toyota yaris,188000000,toyota,Heykers,Automatic Triptonic,55.000-60.000,Hybrid,"Serpong Utara, Tangerang Selatan Kota, Banten",2017,12
toyota yaris,141800000,toyota,1.5 E Bensin,Manual,55.000-60.000,Bensin,"Pondok Aren, Tangerang Selatan Kota, Banten",2017,12
toyota yaris,188000000,toyota,1.5 TRD Sportivo Heykers Bensin,Manual,50.000-55.000,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",2017,11
toyota yaris,180000000,toyota,TRD Sportivo TRD M/T,Manual,50.000-55.000,Bensin,"Karawaci, Tangerang Kota, Banten",2017,11
toyota yaris,191000000,toyota,1.5 S Bensin,Automatic,45.000-50.000,Bensin,"Pesona Square Jl Ir.H.Juanda No 22A, Bakti Jaya, Kec Sukmajaya Depok, Jawa Barat 16422, Bakti Jaya, Kec.Sukmajaya, Depok, Jawa BaratDapatkan petunjuk",2017,10
toyota yaris,165000000,toyota,1.5 G Bensin,Manual,45.000-50.000,Bensin,"Tembalang, Semarang Kota, Jawa Tengah",2017,10
toyota yaris,202000000,toyota,1.5 TRD Sportivo Heykers Bensin,Automatic,40.000-45.000,Bensin,"Jl Cempaka Putih Tengah II No 16 Cempaka Putih, Cempaka Putih, Kecamatan Cempaka Putih, Jakarta Pusat, DKI JakartaDapatkan petunjuk",2017,9
toyota yaris,199000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,40.000-45.000,Bensin,"Wonokromo, Surabaya Kota, Jawa Timur",2017,9
toyota yaris,205000000,toyota,1.5 TRD Sportivo Heykers Bensin,Automatic Triptonic,35.000-40.000,Bensin,"Tenggilis Mejoyo, Surabaya Kota, Jawa Timur",2017,8
toyota yaris,173000000,toyota,1.5 G Bensin,Automatic,35.000-40.000,Bensin,"Ciledug, Tangerang Kota, Banten",2017,8
toyota yaris,178800000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Menteng, Jakarta Pusat, Jakarta D.K.I.",2017,7
toyota yaris,163000000,toyota,1.5 G Bensin,Automatic Triptonic,30.000-35.000,Bensin,"Cimanggis, Depok Kota, Jawa Barat",2017,7
toyota yaris,210000000,toyota,1.5 TRD Sportivo Bensin,Automatic,25.000-30.000,Bensin,"Prajurit Kulon, Mojokerto Kota, Jawa Timur",2017,6
toyota yaris,175000000,toyota,1.5 G Bensin,Automatic,25.000-30.000,Bensin,"Cipocok Jaya, Serang Kota, Banten",2017,6
toyota yaris,210000000,toyota,1.5 TRD Sportivo Heykers Bensin,Automatic Triptonic,20.000-25.000,Bensin,"Magelang Tengah, Magelang Kota, Jawa Tengah",2017,5
toyota yaris,195000000,toyota,1.5 TRD Sportivo Heykers Bensin,Automatic,20.000-25.000,Bensin,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",2017,5
toyota yaris,205000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,15.000-20.000,Bensin,"Wiyung, Surabaya Kota, Jawa Timur",2017,4
toyota yaris,176000000,toyota,1.5 G Bensin,Automatic,90.000-95.000,Bensin,"Tambun Selatan, Bekasi Kab., Jawa Barat",2016,19
toyota yaris,185000000,toyota,1.5 TRD Sportivo Bensin,Manual,85.000-90.000,Bensin,"Bluluk, Lamongan  Kab., Jawa Timur",2016,18
toyota yaris,184999999,toyota,1.5 TRD Sportivo Bensin,Automatic,70.000-75.000,Bensin,"Gubeng, Surabaya Kota, Jawa Timur",2016,15
toyota yaris,183000000,toyota,1.5 TRD Sportivo Bensin,Automatic,70.000-75.000,Bensin,"Karawaci, Tangerang Kota, Banten",2016,15
toyota yaris,177000000,toyota,1.5 S Bensin,Automatic,70.000-75.000,Bensin,"Pejaten Village Mall P-5, Jl. Warung Jati Barat, RT.1/RW.5, Jati Padang, Kecamatan Pasar Minggu, Jakarta Selatan, DKI JakartaDapatkan petunjuk",2016,15
toyota yaris,172000000,toyota,1.5 TRD Sportivo Bensin,Automatic Triptonic,70.000-75.000,Bensin,"Batang, Batang Kab., Jawa Tengah",2016,15
toyota yaris,170000000,toyota,1.5 G Bensin,Automatic,70.000-75.000,Bensin,"Batu, Batu Kota, Jawa Timur",2016,15
toyota yaris,181000000,toyota,1.5 TRD Sportivo Bensin,Automatic,65.000-70.000,Bensin,"Sidoarjo, Sidoarjo  Kab., Jawa Timur",2016,14
toyota yaris,164000000,toyota,1.5 G Bensin,Automatic,65.000-70.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2016,14
toyota yaris,195000000,toyota,1.5 TRD Sportivo Bensin,Automatic,55.000-60.000,Bensin,"Bekasi Barat, Bekasi Kota, Jawa Barat",2016,12
toyota yaris,168000000,toyota,1.5 G Bensin,Automatic,50.000-55.000,Bensin,"Sukun, Malang Kota, Jawa Timur",2016,11
toyota yaris,155000000,toyota,1.5 G Bensin,Manual,50.000-55.000,Bensin,"Jetis, Yogyakarta Kota, Yogyakarta D.I.",2016,11
toyota yaris,193000000,toyota,1.5 TRD Sportivo Bensin,Automatic,35.000-40.000,Bensin,"Babakan Ciparay, Bandung Kota, Jawa Barat",2016,8
toyota yaris,178000000,toyota,Heykers,Manual,35.000-40.000,Bensin,"Mertoyudan, Magelang Kab., Jawa Tengah",2016,8
toyota yaris,178000000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Pamulang, Tangerang Selatan Kota, Banten",2016,7
toyota yaris,156000000,toyota,1.5 G Bensin,Automatic,125.000-130.000,Bensin,"Dramaga, Bogor Kab., Jawa Barat",2016,26
toyota yaris,177000000,toyota,1.5 TRD Sportivo Bensin,Automatic,100.000-105.000,Bensin,"Purwakarta, Purwakarta Kab., Jawa Barat",2016,21
toyota yaris,170000000,toyota,1.5 TRD Sportivo Bensin,Automatic,95.000-100.000,Bensin,"Jl. Mohammad Ramdan no 25, Ancol, KEc. Regol, Kota Bandung, Cigereleng, Kecamatan Regol, Kota Bandung, Jawa BaratDapatkan petunjuk",2015,20
toyota yaris,160000000,toyota,1.5 G Bensin,Automatic,90.000-95.000,Bensin,"Karawaci, Tangerang Kota, Banten",2015,19
toyota yaris,169500000,toyota,1.5 Bensin,Automatic,80.000-85.000,Bensin,"Gubeng, Surabaya Kota, Jawa Timur",2015,17
toyota yaris,165000000,toyota,1.5 G Bensin,Automatic,80.000-85.000,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",2015,17
toyota yaris,165500000,toyota,1.5 G Bensin,Automatic,70.000-75.000,Bensin,"Beji, Depok Kota, Jawa Barat",2015,15
toyota yaris,163000000,toyota,1.5 TRD Sportivo Bensin,Manual,70.000-75.000,Bensin,"Sukoharjo, Sukoharjo Kab., Jawa Tengah",2015,15
toyota yaris,146000000,toyota,1.5 G Bensin,Automatic,70.000-75.000,Bensin,"Cibinong, Bogor Kab., Jawa Barat",2015,15
toyota yaris,173000000,toyota,1.5 TRD Sportivo Bensin,Automatic,60.000-65.000,Bensin,"Blimbing, Malang Kota, Jawa Timur",2015,13
toyota yaris,168000000,toyota,1.5 TRD Sportivo Bensin,Automatic,60.000-65.000,Bensin,"Candimulyo, Magelang Kab., Jawa Tengah",2015,13
toyota yaris,180500000,toyota,1.5 TRD Sportivo Bensin,Automatic,55.000-60.000,Bensin,"Gubeng, Surabaya Kota, Jawa Timur",2015,12
