title,price,brand,type,years,milage,location,vehicle_type,url,transmission,fuel
mitsubishi xpander,238000000.0,mitsubishi,xpander,2019.0,45.000-50.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-tahun-2019-iid-866617880,Automatic,Bensin
Ultimate Bensin,225000000.0,,,1.0,,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/xpander-ultimate-at-2018-pemakaian-2019-istimewa-iid-866608454,,
mitsubishi xpander,225000000.0,mitsubishi,xpander,2021.0,20.000-25.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-gls-matic-2021-harga-cash-iid-858473246,Automatic,Bensin
ULTIMATE AT,233000000.0,,,,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/cukup-dp-45jt-xpander-ultimate-at-2019-automatic-iid-866588628,,
mitsubishi xpander,249000000.0,mitsubishi,xpander,2021.0,10.000-15.000,"Blok M Square lantai parkir atas P5A, Melawai, Jakarta Selatan, Melawai, Kecamatan Kebayoran Baru, Jakarta Selatan, DKI Jakarta",car,https://www.olx.co.id/item/mitsubishi-xpander-15-sport-tahun-2021-2022-automatic-putih-iid-866588304,Automatic,Bensin
mitsubishi xpander,220000000.0,mitsubishi,xpander,2019.0,45.000-50.000,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/full-record-spt-baru-xpander-ultimate-matic-2019-silver-iid-866571322,Automatic,Bensin
Cross Bensin,299000000.0,,,1.0,,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubhisi-xpander-cross-2022-at-putih-15-km-2-ribu-like-new-iid-866557658,,
Sport Bensin,222000000.0,,,1.0,,"Jagakarsa, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-sport-15-manual-2019-dp-15-juta-original-iid-866548907,,
mitsubishi xpander,278000000.0,mitsubishi,xpander,2021.0,5.000-10.000,"Gambir, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-at-premium-pack-2021-hitam-iid-866504368,Automatic,Bensin
mitsubishi xpander,230000000.0,mitsubishi,xpander,2019.0,25.000-30.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-15-ultimate-2019-iid-866499847,Automatic Triptonic,Bensin
