title,price,brand,type,years,milage,location,vehicle_type,url,milage_class
toyota yaris,240000000,toyota,yaris,2020,30.000-35.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-15-trd-sportivo-automatic-2020-cash-kredit-iid-866709237,7
toyota yaris,240000000,toyota,yaris,2020,30.000-35.000,"Wonocolo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-at-tahun-2020-iid-866516932,7
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Wonokromo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-th-2020-matic-iid-866613112,6
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Kartasura, Sukoharjo Kab., Jawa Tengah",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866887893,6
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Karanganyar, Karanganyar Kab., Jawa Tengah",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866887989,6
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Kotagede, Yogyakarta Kota, Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866888080,6
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-864091155,5
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-867020553,5
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Kelapa Gading, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-865841133,5
toyota yaris,246000000,toyota,yaris,2020,20.000-25.000,"Cipayung, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/pajak-sept-2023tdp36jt-toyota-yaris-s-trd-sportivo-automatic-at-2020-iid-865572182,5
toyota yaris,239000000,toyota,yaris,2020,15.000-20.000,"Penjaringan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-s-trd-matic-2020dp-ringansiap-pakai-iid-866987593,4
toyota yaris,231000000,toyota,yaris,2020,15.000-20.000,"Jl Brigjen sudiarto rt 01 rw 01 kel penggaron kidul kec pedurungan kota semarang jawa tengah, penggaron kidul, kec pedurungan, kota semarang, Jawa tengah",car,https://www.olx.co.id/item/olx-autos-toyota-yaris-15-s-trd-2020-manual-kuning-iid-866624429,4
toyota yaris,260000000,toyota,yaris,2020,10.000-15.000,"Blimbing, Malang Kota, Jawa Timur",car,https://www.olx.co.id/item/yaris-trd-s-facelift-at-2020-akhir-toyota-iid-866091894,3
toyota yaris,253000000,toyota,yaris,2020,10.000-15.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-at-2020-istimewa-km-6rbansurya-mobilindo-iid-865193095,3
toyota yaris,252000000,toyota,yaris,2020,10.000-15.000,"Semarang Selatan, Semarang Kota, Jawa Tengah",car,https://www.olx.co.id/item/fs-toyota-yaris-trd-sportivo-2020-km-rendah-pemakaian-pribadi-iid-866270940,3
