title,price,brand,type,years,milage,location,vehicle_type,url,milage_class,fuel,transmission
toyota yaris,260000000,toyota,yaris,2021,5.000-10.000,"Bekasi Timur, Bekasi Kota, Jawa Barat",car,https://www.olx.co.id/item/yaris-gr-automatic-2021-km-8-rb-iid-866007607,2,Bensin,Automatic
toyota yaris,259000000,toyota,yaris,2021,5.000-10.000,"Sleman, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/dp-51jt-toyota-yaris-trd-sportivo-matic-2021km-11rb-iid-867348623,2,Bensin,Automatic
toyota yaris,290000000,toyota,yaris,2021,0-5.000,"Magelang Tengah, Magelang Kota, Jawa Tengah",car,https://www.olx.co.id/item/all-new-yaris-s-gr-2021-at-tgn-1-km-4rb-like-new-iid-867228506,1,Bensin,Automatic Triptonic
toyota yaris,285000000,toyota,yaris,2021,0-5.000,"Gajah Mungkur, Semarang Kota, Jawa Tengah",car,https://www.olx.co.id/item/yaris-gr-2021-automatic-lemon-km-5rb-istimewa-sekali-seperti-baru-iid-867290263,1,Bensin,Automatic Triptonic
toyota yaris,275000000,toyota,yaris,2021,0-5.000,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-8rb-ori-tdp-35jt-toyota-yaris-s-trd-at-2021-tgn1-garansi-4-th-iid-866624922,1,Bensin,Automatic
toyota yaris,269000000,toyota,yaris,2021,0-5.000,"Karawang Barat, Karawang Kab., Jawa Barat",car,https://www.olx.co.id/item/vip-dealer-yaris-15-s-trd-automatic-2021-km-5-rb-plat-t-karawang-iid-864342834,1,Bensin,Automatic Triptonic
toyota yaris,268000000,toyota,yaris,2021,0-5.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-at-2021-7-airbag-iid-865726027,1,Bensin,Automatic
toyota yaris,265000000,toyota,yaris,2021,0-5.000,"Cempaka Putih, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km6rb-toyota-yaris-s-trd-sportivo-at-abu-facelift-nik-2021-iid-866818859,1,Bensin,Automatic
toyota yaris,260000000,toyota,yaris,2021,0-5.000,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",car,https://www.olx.co.id/item/toyota-yaris-gr-15-at-th-2021-km8rb-persis-kaya-baru-banget-iid-866024506,1,Bensin,Automatic
toyota yaris,245000000,toyota,yaris,2020,40.000-45.000,"Gajah Mungkur, Semarang Kota, Jawa Tengah",car,https://www.olx.co.id/item/toyota-yaris-trd-s-2020-at-iid-865911981,9,Bensin,Automatic
toyota yaris,239000000,toyota,yaris,2020,40.000-45.000,"Sleman, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/yaris-trd-sportivo-matic-2020-iid-866746058,9,Bensin,Automatic Triptonic
toyota yaris,267000000,toyota,yaris,2020,35.000-40.000,"Serpong, Tangerang Selatan Kota, Banten",car,https://www.olx.co.id/item/yaris-trd-matic-2020-putih-kayak-mobil-baru-iid-867185257,8,Bensin,Automatic Triptonic
toyota yaris,245000000,toyota,yaris,2020,35.000-40.000,"JL diponegoro no 45 Kartasura Sukoharjo Solo, Car solution Lapak no 31-35 jl Ronggo Warsito no 137 Timuran banjarsari surakarta, Timuran, Kec. Banjarsari, Kota Surakarta, Jawa Tengah",car,https://www.olx.co.id/item/olxautos-toyota-yaris-15-trd-sportivo-automatic-2020-trisno-motor-iid-862709927,8,Bensin,Automatic
toyota yaris,245000000,toyota,yaris,2020,35.000-40.000,"Ngaglik, Sleman Kab., Yogyakarta D.I.",car,https://www.olx.co.id/item/toyota-yaris-trd-s-20202021-iid-865129634,8,Bensin,Automatic Triptonic
toyota yaris,240000000,toyota,yaris,2020,30.000-35.000,"Gubeng, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-15-trd-sportivo-automatic-2020-cash-kredit-iid-866709237,7,Bensin,Automatic
toyota yaris,240000000,toyota,yaris,2020,30.000-35.000,"Wonocolo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-at-tahun-2020-iid-866516932,7,Bensin,Automatic
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Wonokromo, Surabaya Kota, Jawa Timur",car,https://www.olx.co.id/item/toyota-yaris-s-trd-sportivo-th-2020-matic-iid-866613112,6,Bensin,Automatic Triptonic
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Banyumanik, Semarang Kota, Jawa Tengah",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866888158,6,Bensin,Automatic
toyota yaris,240000000,toyota,yaris,2020,25.000-30.000,"Banjarsari, Surakarta Kota, Jawa Tengah",car,https://www.olx.co.id/item/dp-40jt-yaris-s-trd-2020-automatic-iid-866885080,6,Bensin,Automatic
